id,Volume,vol_link,title,authors,Details,Pdf link,vol_link,Addition url,date,data of the conference,conference_name,conference_name_long,Place,editors,id,abs_link,abstracts
11,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,A novel greedy algorithm for Nystr_m approximation,"Ahmed Farahat, Ali Ghodsi, Mohamed Kamel","15:269-277, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/farahat11a/farahat11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_farahat11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/farahat11a.html,The Nystr_m method is an efficient technique for obtaining a low-rank approximation of a large kernel matrix based on a subset of its columns. The quality of the Nystr_m approximation highly depends on the subset of columns used which are usually selected using random sampling. This paper presents a novel recursive algorithm for calculating the Nystr_m approximation and an effective greedy criterion for column selection. Further a very efficient variant is proposed for greedy sampling which works on random partitions of data instances. Experiments on benchmark data sets show that the proposed greedy algorithms achieve significant improvements in approximating kernel matrices with minimum overhead in run time.   [pdf]  [supplementary]
12,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Learning from positive and unlabeled examples by enforcing statistical significance,Pierre Geurts,"15:305-314, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/geurts11a/geurts11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_geurts11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/geurts11a.html,"Given a finite but large set of objects described by a vector of features only a small subset of which have been labeled as """"positive"""" with respect to a class of interest we consider the problem of characterizing the positive class. We formalize this as the problem of learning a feature based score function that minimizes the p-value of a non parametric statistical hypothesis test. For linear score functions over the original feature space or over one of its kernelized versions we provide a solution of this problem computed by a one-class SVM applied on a surrogate dataset obtained by sampling subsets of the overall set of objects and representing them by their average feature-vector shifted by the average feature-vector of the original sample of positive examples. We carry out experiments with this method on the prediction of targets of transcription factors in two different organisms E. Coli and S. Cererevisiae. Our method extends enrichment analysis commonly carried out in Bioinformatics and its results outperform common solutions to this problem.   [pdf]  [supplementary]"
13,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Multiscale Community Blockmodel for Network Exploration,"Qirong Ho, Ankur Parikh, Le Song, Eric Xing","15:333-341, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/ho11a/ho11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_ho11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/ho11a.html,Real world networks exhibit a complex set of phenomena such as underlying hierarchical organization multiscale interaction and varying topologies of communities. Most existing methods do not adequately capture the intrinsic interplay among such phenomena. We propose a nonparametric Multiscale Community Blockmodel (MSCB) to model the generation of hierarchies in social communities selective membership of actors to subsets of these communities and the resultant networks due to within- and cross- community interactions. By using the nested Chinese Restaurant Process our model automatically infers the hierarchy structure from the data. We develop a collapsed Gibbs sampling algorithm for posterior inference conduct extensive validation using synthetic networks and demonstrate the utility of our model in real-world datasets such as predator-prey networks and citation networks.   [pdf]  [supplementary]
14,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Online Learning of Structured Predictors with Multiple Kernels,"Andre Filipe Torres Martins, Noah Smith, Eric Xing, Pedro Aguiar, Mario Figueiredo","15:507-515, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/martins11a/martins11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_martins11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/martins11a.html,Training structured predictors often requires a considerable time selecting features or tweaking the kernel. Multiple kernel learning (MKL) sidesteps this issue by embedding the kernel learning into the training procedure. Despite the recent progress towards efficiency of MKL algorithms the structured output case remains an open research front. We propose a family of online algorithms able to tackle variants of MKL and group-LASSO for which we show regret convergence and generalization bounds. Experiments on handwriting recognition and dependency parsing attest the success of the approach.   [pdf]  [supplementary]
15,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Maximum Volume Clustering,"Gang Niu, Bo Dai, Lin Shang, Masashi Sugiyama","15:561-569, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/niu11b/niu11b.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_niu11b,http://jmlr.csail.mit.edu/proceedings/papers/v15/niu11b.html,The large volume principle proposed by Vladimir Vapnik which advocates that hypotheses lying in an equivalence class with a larger volume are more preferable is a useful alternative to the large margin principle. In this paper we introduce a clustering model based on the large volume principle called maximum volume clustering (MVC) and propose two algorithms to solve it approximately: a soft-label and a hard-label MVC algorithms based on sequential quadratic programming and semi-definite programming respectively. Our MVC model includes spectral clustering and maximum margin clustering as special cases and is substantially more general. We also establish the finite sample stability and an error bound for the soft-label MVC method. Experiments show that the proposed MVC approach compares favorably with state-of-the-art clustering algorithms.   [pdf]  [supplementary]
16,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,On NDCG Consistency of Listwise Ranking Methods,"Pradeep Ravikumar, Ambuj Tewari, Eunho Yang","15:618-626, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/ravikumar11a/ravikumar11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_ravikumar11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/ravikumar11a.html,"We examine the consistency of listwise ranking methods with respect to the popular Normalized Discounted Cumulative Gain (NDCG) criterion. The most successful listwise approaches replace NDCG with a surrogate that is easier to optimize. We characterize NDCG consistent surrogates to discover a surprising fact: several commonly used surrogates are NDCG inconsistent. We then show how to change them so that they become NDCG consistent in a strong but natural sense. An explicit characterization of strong NDCG consistency is provided. Going beyond qualitative consistency considerations we also give quantitive statements that enable us to transform the excess error as measured in the surrogate to the excess error in comparison to the Bayes optimal ranking function for NDCG. Finally we also derive improved results if a certain natural ``low noise"""" or ``large margin"""" condition holds. Our experiments demonstrate that ensuring NDCG consistency does improve the performance of listwise ranking methods on real-world datasets. Moreover a novel surrogate function suggested by our theoretical results leads to further improvements over NDCG consistent versions of existing surrogates.   [pdf]  [supplementary]"
17,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Spectral Clustering on a Budget,"Ohad Shamir, Naftali Tishby","15:661-669, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/shamir11a/shamir11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_shamir11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/shamir11a.html,Spectral clustering is a modern and well known method for performing data clustering. However it depends on the availability of a similarity matrix which in many applications can be non-trivial to obtain. In this paper we focus on the problem of performing spectral clustering under a budget constraint where there is a limit on the number of entries which can be queried from the similarity matrix. We propose two algorithms for this problem and study them theoretically and experimentally. These algorithms allow a tradeoff between computational efficiency and actual performance and are also relevant for the problem of speeding up standard spectral clustering.   [pdf]  [supplementary]
18,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Machine Learning Markets,Amos Storkey,"15:716-724, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/storkey11a/storkey11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_storkey11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/storkey11a.html,Prediction markets show considerable promise for developing flexible mechanisms for machine learning. Here machine learning markets for multivariate systems are defined and a utility-based framework is established for their analysis. It is shown that such markets can implement model combination methods used in machine learning such as product of expert and mixture of expert approaches as equilibrium pricing models by varying agent utility functions. They can implement models composed of local potentials and message passing methods. Prediction markets also allow for more flexible combinations by combining multiple different utility functions.   [pdf]
19,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Active Boosted Learning (ActBoost),"Kirill Trapeznikov, Venkatesh Saligrama, David Castanon","15:743-751, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/trapeznikov11a/trapeznikov11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_trapeznikov11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/trapeznikov11a.html,Active learning deals with the problem of selecting a small subset of examples to label from a pool of unlabeled data for training a good classifier. We develop an active learning algorithm algorithm in the boosting framework. In contrast to much of the recent efforts which has focused on selecting the most ambiguous unlabeled example to label based on the current learned classifier our algorithm selects examples to maximally reduce the volume of the version space of feasible boosted classifiers. We show that under suitable sparsity assumptions this strategy achieves the generalization error performance of a boosted classifier trained on the entire data set while only selecting logarithmically many unlabeled samples to label. We also establish a partial negative result in that with out imposing structural assumptions it is difficult to guarantee generalization error performance. We explicitly characterize our convergence rate in terms of the sign pattern differences produced by the weak learners on the unlabeled data. We also present a convex relaxation to account for the non-convex sparse structure and show that the computational complexity of the resulting algorithm scales polynomially in the number of weak learners. We test ActBoost on several datasets to illustrate its performance and demonstrate its robustness to initialization.   [pdf]  [supplementary]
20,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Cross-Domain Object Matching with Model Selection,"Makoto Yamada, Masashi Sugiyama","15:807-815, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/yamada11a/yamada11a.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_yamada11a,http://jmlr.csail.mit.edu/proceedings/papers/v15/yamada11a.html,The goal of cross-domain object matching (CDOM) is to find correspondence between two sets of objects in different domains in an unsupervised way. Photo album summarization is a typical application of CDOM where photos are automatically aligned into a designed frame expressed in the Cartesian coordinate system. CDOM is usually formulated as finding a mapping from objects in one domain (photos) to objects in the other domain (frame) so that the pairwise dependency is maximized. A state-of-the-art CDOM method employs a kernel-based dependency measure but it has a drawback that the kernel parameter needs to be determined manually. In this paper we propose alternative CDOM methods that can naturally address the model selection problem. Through experiments on image matching unpaired voice conversion and photo album summarization tasks the effectiveness of the proposed methods is demonstrated.   [pdf]
21,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Multi-Label Output Codes using Canonical Correlation Analysis,"Yi Zhang, Jeff Schneider","15:873-882, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/zhang11c/zhang11c.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_zhang11c,http://jmlr.csail.mit.edu/proceedings/papers/v15/zhang11c.html,Traditional error-correcting output codes (ECOCs) decompose a multi-class classification problem into many binary problems. Although it seems natural to use ECOCs for multi-label problems as well doing so naively creates issues related to: the validity of the encoding the efficiency of the decoding the predictability of the generated codeword and the exploitation of the label dependency. Using canonical correlation analysis we propose an error-correcting code for multi-label classification. Label dependency is characterized as the most predictable directions in the label space which are extracted as canonical output variates and encoded into the codeword. Predictions for the codeword define a graphical model of labels with both Bernoulli potentials (from classifiers on the labels) and Gaussian potentials (from regression on the canonical output variates). Decoding is performed by efficient mean-field approximation. We establish connections between the proposed code and research areas such as compressed sensing and ensemble learning. Some of these connections contribute to better understanding of the new code and others lead to practical improvements in code design. In our empirical study the proposed code leads to substantial improvements compared to various competitors in music emotion classification and outdoor scene recognition.   [pdf]
22,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Semi-supervised Learning by Higher Order Regularization,"Xueyuan Zhou, Mikhail Belkin","15:892-900, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/zhou11b/zhou11b.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_zhou11b,http://jmlr.csail.mit.edu/proceedings/papers/v15/zhou11b.html,In semi-supervised learning at the limit of infinite unlabeled points while fixing labeled ones the solutions of several graph Laplacian regularization based algorithms were shown by Nadler et al. (2009) to degenerate to constant functions with ``spikes'' at labeled points in $\R^d$ for $d\ge 2$. These optimization problems all use the graph Laplacian regularizer as a common penalty term. In this paper we address this problem by using regularization based on an iterated Laplacian which is equivalent to a higher order Sobolev semi-norm. Alternatively it can be viewed as a generalization of the thin plate spline to an unknown submanifold in high dimensions. We also discuss relationships between Reproducing Kernel Hilbert Spaces and Green's functions. Experimental results support our analysis by showing consistently improved results using iterated Laplacians.   [pdf]
23,15,http://jmlr.csail.mit.edu/proceedings/papers/v15/,Error Analysis of Laplacian Eigenmaps for Semi-supervised Learning,"Xueyuan Zhou, Nathan Srebro","15:901-908, 2011.",http://jmlr.csail.mit.edu/proceedings/papers/v15/zhou11c/zhou11c.pdf,http://jmlr.csail.mit.edu/proceedings/papers/v15/,,14th June 2011,"April 11-13, 2011",AISTATS 2011 Proceedings,Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics,"Fort Lauderdale, FL, USA","Geoffrey Gordon, David Dunson, and Miroslav DudÕ_k",v15_zhou11c,http://jmlr.csail.mit.edu/proceedings/papers/v15/zhou11c.html,We study the error and sample complexity of semi-supervised learning by Laplacian Eignmaps at the limit of infinite unlabeled data. We provide a bound on the error and show that it is controlled by the graph Laplacian regularizer. Our analysis also gives guidance to the choice of the number of eigenvectors $k$ to use: when the data lies on a $d$-dimensional domain the optimal choice of $k$ is of order $(n/\log(n))^{\frac{d}{d+2}}$ yielding an asymptotic error rate of $(n/\log(n))^{-\frac{2}{2+d}}$.   [pdf]
