paper_title,venue,year,author_names,bibtex,abstract,pdf_url,google_search_url,source_page_url
Age-based Packet Arbitration in Large k-ary n-cubes,SC (2007),2007,Dennis Abts Deborah Weisser,@inproceedings{33386 title = {Age-based Packet Arbitration in Large k-ary n-cubes} author = {Dennis Abts and Deborah Weisser} year = 2007 URL = {http://sc07.supercomputing.org/schedule/event_detail.php?evid=11059} note = {sc07.supercomputing.org} booktitle = {SC} },As applications scale to increasingly large processor counts the interconnection network is frequently the limiting factor in application performance. In order to achieve application scalability the interconnect must maintain high bandwidth while minimizing variation in packet latency. As the offered load in the network increases with growing problem sizes and processor counts so does the expected maximum packet latency in the network directly impacting performance of applications with any synchronized communication. Age-based packet arbitration reduces the variance in packet latency as well as average latency. This paper describes the Cray XT router packet aging algorithm which allows globally fair arbitration by incorporating age in the packet output arbitration. We describe the parameters of the aging algorithm and how to arrive at appropriate settings. We show that an efficient aging algorithm reduces both the average packet latency and the variance in packet latency on communication-intensive benchmarks.,http://research.google.com/pubs/archive/33386.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Age-based+Packet+Arbitration+in+Large+k-ary+n-cubes+Abts+Weisser,http://research.google.com/pubs/pub33386.html
All Smiles : Automatic Photo Enhancement by Facial Expression Analysis,Conference for Visual Media Production (CVMP 2012) [Best Paper],2012,Rajvi Shah Vivek Kwatra,@inproceedings{41101 title = {All Smiles : Automatic Photo Enhancement by Facial Expression Analysis} author = {Rajvi Shah and Vivek Kwatra} year = 2012 URL = {https://sites.google.com/site/allsmilespaper/} booktitle = {Conference for Visual Media Production (CVMP 2012) [Best Paper]} },We propose a framework for automatic enhancement of group photographs by facial expression analysis. We are motivated by the observation that group photographs are seldom perfect. Subjects may have inadvertently closed their eyes may be looking away or may not be smiling at that moment. Given a set of photographs of the same group of people our algorithm uses facial analysis to determine a goodness score for each face instance in those photos. This scoring function is based on classifiers for facial expressions such as smiles and eye-closure trained over a large set of annotated photos. Given these scores a best composite for the set is synthesized by (a) selecting the photo with the best overall score and (b) replacing any low-scoring faces in that photo with high-scoring faces of the same person from other photos using alignment and seamless composition.,http://research.google.com/pubs/archive/41101.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=All+Smiles+:+Automatic+Photo+Enhancement+by+Facial+Expression+Analysis+Shah+Kwatra,http://research.google.com/pubs/pub41101.html
CSRIC III WORKING GROUP 4 Network Security Best Practices FINAL Report – BGP Security Best Practice,FCC (2013),2013,Jason Schiller Rodney Joffe Rod Rasmussen Mark Adams Steve Bellovin Donna Bethea-Murphy Rodney Buie Kevin Cox John Crain Michael Currie Dale Drew Chris Garner Joseph Gersch Jose A. Gonzalez Kevin Graves Chris Joul Tom Haynes Mazen Khaddam Ron Mathis Danny McPherson Doug Montgomery Heather Schiller Tony Tauber Marvin Simpson Ron Roman Elman Reyes Victor Oppleman Chris Oberg Russ White Paul Vixie Bob Wright,@misc{41862 title = {CSRIC III WORKING GROUP 4 Network Security Best Practices FINAL Report – BGP Security Best Practice} author = {Jason Schiller and Rodney Joffe and Rod Rasmussen and Mark Adams and Steve Bellovin and Donna Bethea-Murphy and Rodney Buie and Kevin Cox and John Crain and Michael Currie and Dale Drew and Chris Garner and Joseph Gersch and Jose A. Gonzalez and Kevin Graves and Chris Joul and Tom Haynes and Mazen Khaddam and Ron Mathis and Danny McPherson and Doug Montgomery and Heather Schiller and Tony Tauber and Marvin Simpson and Ron Roman and Elman Reyes and Victor Oppleman and Chris Oberg and Russ White and Paul Vixie and Bob Wright} year = 2013 URL = {http://transition.fcc.gov/bureaus/pshs/advisory/csric3/CSRIC_III_WG4_Report_March_%202013.pdf} },Discussion of best current practices for securing intra-domain routing prior to the wide spread adoption of BGPsec.,http://research.google.com/pubs/archive/41862.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=CSRIC+III+WORKING+GROUP+4++Network+Security+Best+Practices++++FINAL+Report+%E2%80%93+BGP+Security+Best+Practice+Schiller+Joffe+Rasmussen+Adams+Bellovin+Bethea-Murphy+Buie+Cox+Crain+Currie+Drew+Garner+Gersch+Gonzalez+Graves+Joul+Haynes+Khaddam+Mathis+McPherson+Montgomery+Schiller+Tauber+Simpson+Roman+Reyes+Oppleman+Oberg+White+Vixie+Wright,http://research.google.com/pubs/pub41862.html
Online Effects of Offline Ads,AdKDD08 (in the ACM digital library) ACM (2008) pp. 10-17,2008,Diane Lambert Daryl Pregibon,@inproceedings{34436 title = {Online Effects of Offline Ads} author = {Diane Lambert and Daryl Pregibon} year = 2008 URL = {http://research.microsoft.com/users/mbilenko/kdd_old/workshops/ADKDD.pdf} booktitle = {AdKDD08 (in the ACM digital library)} pages = {10-17} },We propose a methodology for assessing how ad campaigns in offline media such as print audio and TV affect online interest in the advertiser's brand. Online interest can be measured by daily counts of the number of search queries that contain brand related keywords by the number of visitors to the advertiser's web pages by the number of pageviews at the advertiser's websites or by the total duration of visits to the advertiser's website. An increase in outcomes like these in designated market areas (DMAs) where the offline ad appeared suggests heightened interest in the advertised product as long as there would have been no such increase if the ad had not appeared. We propose a regression analysis to estimate the incremental value of the ad campaign beyond the baseline interest that would have been seen if the campaign had not been shown. A small print ad campaign illustrates the method.,http://research.google.com/pubs/archive/34436.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Online+Effects+of+Offline+Ads+Lambert+Pregibon,http://research.google.com/pubs/pub34436.html
A Computational Approach for Obstruction-Free Photography,ACM Transactions on Graphics vol. 34 no. 4 (Proc. SIGGRAPH) (2015),2015,Tianfan Xue Michael Rubinstein Ce Liu William T. Freeman,@article{43884 title = {A Computational Approach for Obstruction-Free Photography} author = {Tianfan Xue and Michael Rubinstein and Ce Liu and William T. Freeman} year = 2015 URL = {https://sites.google.com/site/obstructionfreephotography/} journal = {ACM Transactions on Graphics} volume = {34 no. 4 (Proc. SIGGRAPH)} },We present a unified computational approach for taking photos through reflecting or occluding elements such as windows and fences. Rather than capturing a single image we instruct the user to take a short image sequence while slightly moving the camera. Differences that often exist in the relative position of the background and the obstructing elements from the camera allow us to separate them based on their motions and to recover the desired background scene as if the visual obstructions were not there. We show results on controlled experiments and many real and practical scenarios including shooting through reflections fences and raindrop-covered windows.,https://sites.google.com/site/obstructionfreephotography/,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=A+Computational+Approach+for+Obstruction-Free+Photography+Xue+Rubinstein+Liu+Freeman,http://research.google.com/pubs/pub43884.html
The Shoebox and the Safe: When Once-Personal Information Changes Hands,Proceedings of the 5th International Workshop on Personal Information Management at CSCW 2012,2012,Manas Tungare,@inproceedings{40349 title = {The Shoebox and the Safe: When Once-Personal Information Changes Hands} author = {Manas Tungare} year = 2012 URL = {http://manas.tungare.name/publications/tungare_2012_shoebox} booktitle = {Proceedings of the 5th International Workshop on Personal Information Management at CSCW 2012} },This paper presents several examples where one user’s personal information is accessed by another without the consent of the owner or without the capability of the owner to consent to such sharing. While intentional sharing of information at home as well as at work has been studied in detail there is extremely limited understanding about the practices dimensions and models of unintentional sharing. Laws and policies that were developed with paper and other nondigital archives in mind are being found to be inadequate for addressing the challenges that digital personal information brings. Worse those laws are being enforced in inconsistent ways prompting lawsuits. Posthumously shared information brings up questions that have not been addressed before. This paper starts by noting examples of posthumous sharing and sharing without consent proposes models and dimensions for understanding it and concludes by proposing research questions that need to be addressed by the wider PIM community.,http://research.google.com/pubs/archive/40349.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=The+Shoebox+and+the+Safe:+When+Once-Personal+Information+Changes+Hands+Tungare,http://research.google.com/pubs/pub40349.html
User browsing models: relevance versus examination,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining ACM Washington DC (2010) pp. 223-232,2010,Ramakrishnan Srikant Sugato Basu Ni Wang Daryl Pregibon,@inproceedings{36588 title = {User browsing models: relevance versus examination} author = {Ramakrishnan Srikant and Sugato Basu and Ni Wang and Daryl Pregibon} year = 2010 URL = {http://doi.acm.org/10.1145/1835804.1835835} booktitle = {Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining} pages = {223-232} address = {Washington DC} },There has been considerable work on user browsing models for search engine results both organic and sponsored. The click-through rate (CTR) of a result is the product of the probability of examination (will the user look at the result) times the perceived relevance of the result (probability of a click given examination). Past papers have assumed that when the CTR of a result varies based on the pattern of clicks in prior positions this variation is solely due to changes in the probability of examination. We show that for sponsored search results a substantial portion of the change in CTR when conditioned on prior clicks is in fact due to a change in the relevance of results for that query instance not just due to a change in the probability of examination. We then propose three new user browsing models which attribute CTR changes solely to changes in relevance solely to changes in examination (with an enhanced model of user behavior) or to both changes in relevance and examination. The model that attributes all the CTR change to relevance yields substantially better predictors of CTR than models that attribute all the change to examination and does only slightly worse than the model that attributes CTR change to both relevance and examination. For predicting relevance the model that attributes all the CTR change to relevance again does better than the model that attributes the change to examination. Surprisingly we also find that one model might do better than another in predicting CTR but worse in predicting relevance. Thus it is essential to evaluate user browsing models with respect to accuracy in predicting relevance not just CTR.,http://doi.acm.org/10.1145/1835804.1835835,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=User+browsing+models:+relevance+versus+examination+Srikant+Basu+Wang+Pregibon,http://research.google.com/pubs/pub36588.html
A Fault Detection and Protection Scheme for Three-Level DC–DC Converters Based on Monitoring Flying Capacitor Voltage,IEEE Transactions on Power Electronics vol. 27 (2012) pp. 685-697,2012,Honggang Sheng Fred Wang C.W. Tipton,@article{39976 title = {A Fault Detection and Protection Scheme for Three-Level DC–DC Converters Based on Monitoring Flying Capacitor Voltage} author = {Honggang Sheng and Fred Wang and C.W. Tipton} year = 2012 URL = {http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5942191} journal = {IEEE Transactions on Power Electronics} pages = {685-697} volume = {27} },Fault detection and protection is an important design aspect for any power converter especially in high-power high-voltage applications where cost of failure can be high. The three-level dc-dc converter and its varied derivatives are attractive topologies in high-voltage high-power converter applications. The protection method can not only prevent the system failure against unbalanced voltage stresses on the switches but also provide a remedy for the system as faults occur and save the remaining components. The three-level converter is subject to voltage unbalance in certain abnormal conditions which can result in switch overvoltage and system failure. The reasons for the unbalanced voltage stresses are fully investigated and categorized. The solutions to each abnormal condition are introduced. In addition to the voltage unbalance the three-level converters can be protected against multiple faults by the proposed protection method through monitoring the flying capacitor voltage. Phenomena associated with each fault are thoroughly analyzed and summarized. The protection circuit is simple and can be easily implemented while it can effectively protect the three-level converters and its derivatives which has been verified by the experiment with a three-level parallel resonant converter.,http://research.google.com/pubs/archive/39976.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=A+Fault+Detection+and+Protection+Scheme+for+Three-Level+DC%E2%80%93DC+Converters+Based+on+Monitoring+Flying+Capacitor+Voltage+Sheng+Wang+Tipton,http://research.google.com/pubs/pub39976.html
Dagstuhl Seminar 09141: Web Application Security (Abstracts collection),Dagstuhl Seminar Proceedings Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik Germany Dagstuhl Germany (2010),2010,Dan Boneh Úlfar Erlingsson Martin Johns Benjamin Livshits,@inbook{37841 title = {Dagstuhl Seminar 09141: Web Application Security (Abstracts collection)} author = {Dan Boneh and Úlfar Erlingsson and Martin Johns and Benjamin Livshits} year = 2010 URL = {http://drops.dagstuhl.de/opus/volltexte/2010/2726} booktitle = {Dagstuhl Seminar Proceedings} address = {Dagstuhl Germany} },From 29th March to 3rd April 2009 the Dagstuhl Seminar 09141 Web Application Security was held in Schloss Dagstuhl -- Leibniz Center for Informatics. During the seminar several participants presented their current research and ongoing work and open problems were discussed. Abstracts of the presentations given during the seminar are put together in this paper. Links to full papers (if available) are provided in the corresponding seminar summary document.,http://drops.dagstuhl.de/opus/volltexte/2010/2726,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Dagstuhl+Seminar+09141:+Web+Application+Security+(Abstracts+collection)+Boneh+Erlingsson+Johns+Livshits,http://research.google.com/pubs/pub37841.html
The Tail at Scale,Communications of the ACM vol. 56 (2013) pp. 74-80,2013,Jeffrey Dean Luiz André Barroso,@article{40801 title = {The Tail at Scale} author = {Jeffrey Dean and Luiz André Barroso} year = 2013 URL = {http://cacm.acm.org/magazines/2013/2/160173-the-tail-at-scale/fulltext} journal = {Communications of the ACM} pages = {74-80} volume = {56} },Systems that respond to user actions very quickly (within 100 milliseconds) feel more fluid and natural to users than those that take longer [Card et al 1991]. Improvements in Internet connectivity and the rise of warehouse-scale computing systems [Barroso & Hoelzle 2009] have enabled Web services that provide fluid responsiveness while consulting multi-terabyte datasets that span thousands of servers. For example the Google search system now updates query results interactively as the user types predicting the most likely query based on the prefix typed so far performing the search and showing the results within a few tens of milliseconds. Emerging augmented reality devices such as the Google Glass prototype will need associated Web services with even greater computational needs while guaranteeing seamless interactivity. It is challenging to keep the tail of the latency distribution low for interactive services as the size and complexity of the system scales up or as overall utilization increases. Temporary high latency episodes which are unimportant in moderate size systems may come to dominate overall service performance at large scale. Just as fault-tolerant computing aims to create a reliable whole out of less reliable parts we suggest that large online services need to create a predictably responsive whole out of less predictable parts. We refer to such systems as latency tail-tolerant or tail-tolerant for brevity. This article outlines some of the common causes of high latency episodes in large online services and describes techniques that reduce their severity or mitigate their impact in whole system performance. In many cases tail-tolerant techniques can take advantage of resources already deployed to achieve fault-tolerance resulting in low additional overheads. We show that these techniques allow system utilization to be driven higher without lengthening the latency tail avoiding wasteful over-provisioning.,http://cacm.acm.org/magazines/2013/2/160173-the-tail-at-scale/fulltext,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=The+Tail+at+Scale+Dean+Barroso,http://research.google.com/pubs/pub40801.html
3DNN: Viewpoint Invariant 3D Geometry Matching for Scene Understanding,Proceedings of the International Conference on Computer Vision (ICCV) (2013) (to appear),2013,Scott Satkin Martial Hebert,@inproceedings{41643 title = {3DNN: Viewpoint Invariant 3D Geometry Matching for Scene Understanding} author = {Scott Satkin and Martial Hebert} year = 2013 booktitle = {Proceedings of the International Conference on Computer Vision (ICCV)} },We present a new algorithm 3DNN (3D Nearest-Neighbor) which is capable of matching an image with 3D data independently of the viewpoint from which the image was captured. By leveraging rich annotations associated with each image our algorithm can automatically produce precise and detailed 3D models of a scene from a single image. Moreover we can transfer information across images to accurately label and segment objects in a scene. The true benefit of 3DNN compared to a traditional 2D nearest-neighbor approach is that by generalizing across viewpoints we free ourselves from the need to have training examples captured from all possible viewpoints. Thus we are able to achieve comparable results using orders of magnitude less data and recognize objects from never-before-seen viewpoints. In this work we describe the 3DNN algorithm and rigorously evaluate its performance for the tasks of geometry estimation and object detection/segmentation. By decoupling the viewpoint and the geometry of an image we develop a scene matching approach which is truly 100% viewpoint invariant yielding state-of-the-art performance on challenging data.,http://research.google.com/pubs/archive/41643.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=3DNN:+Viewpoint+Invariant+3D+Geometry+Matching+for+Scene+Understanding+Satkin+Hebert,http://research.google.com/pubs/pub41643.html
